user,startup,grade
59cd7cac15b357dbfb8b81bb,5a1dbd59b96b57f4f95d1a01,3
59cd7cac15b357dbfb8b81bb,5a1db7c6b96b57f4f95c8c4d,4
59cd7cac15b357dbfb8b81bb,5a1dbe00b96b57f4f95d2bd4,2
59cd7cac15b357dbfb8b81bb,5a1dbc98b96b57f4f95d05f2,3
59cd7cac15b357dbfb8b8207,5a1db741b96b57f4f95c7dff,3
59cd804fefd449dd4ea644e7,5a1db7f3b96b57f4f95c90eb,2
59cd804fefd449dd4ea644e7,5a1db74ab96b57f4f95c7ef7,3
59cd804fefd449dd4ea644e7,5a1dbe22b96b57f4f95d2f73,4
59cd804fefd449dd4ea64502,5a1dbce9b96b57f4f95d0e45,4
59cd804fefd449dd4ea64502,5a1dbd03b96b57f4f95d10f7,3
59cd804fefd449dd4ea64502,5a1db7e2b96b57f4f95c8f43,1
59cd804fefd449dd4ea64502,5a1db7f1b96b57f4f95c90b7,3
59cd804fefd449dd4ea64502,5a1db6edb96b57f4f95c750d,3
59cd804fefd449dd4ea64502,5a1dbcfdb96b57f4f95d1058,4
59cd804fefd449dd4ea64502,5a1dbcf4b96b57f4f95d0f75,3
59cd804fefd449dd4ea64502,5a1db775b96b57f4f95c83a4,3
59cd804fefd449dd4ea64502,5a1dbc31b96b57f4f95cfb4d,1
59cd804fefd449dd4ea64502,5a1db848b96b57f4f95c9a3f,3
59cd804fefd449dd4ea64502,5a1dbcfdb96b57f4f95d1069,4
59cd804fefd449dd4ea64502,5a1db861b96b57f4f95c9cc7,3
59cd804fefd449dd4ea64502,5a1db852b96b57f4f95c9b4d,4
59cd804fefd449dd4ea64502,5a1db760b96b57f4f95c815f,3
59cd804fefd449dd4ea64502,5a1db7a1b96b57f4f95c8868,3
59cd804fefd449dd4ea64502,5a1db7a7b96b57f4f95c8912,3
59cd804fefd449dd4ea64502,5a1dbcf6b96b57f4f95d0fa6,3
59cd804fefd449dd4ea64502,5a1db785b96b57f4f95c8561,3
59cd804fefd449dd4ea64502,5a1db834b96b57f4f95c97fb,3
59cd804fefd449dd4ea64502,5a1db763b96b57f4f95c81b8,3
59cd804fefd449dd4ea64502,5a1dbcc9b96b57f4f95d0af2,3
59cd804fefd449dd4ea64502,5a1db813b96b57f4f95c9475,4
59cd804fefd449dd4ea64502,5a1db7e1b96b57f4f95c8f31,3
59cd804fefd449dd4ea64502,5a1db7e3b96b57f4f95c8f65,4
59cd804fefd449dd4ea64502,5a1db80fb96b57f4f95c9404,4
59cd804fefd449dd4ea64502,5a1dbc5cb96b57f4f95cffae,3
59cd804fefd449dd4ea64502,5a1db7c9b96b57f4f95c8ca9,3
59cd804fefd449dd4ea64502,5a1dbc86b96b57f4f95d03fe,3
59cd804fefd449dd4ea64502,5a1db724b96b57f4f95c7af4,3
59cd804fefd449dd4ea64502,5a1dbc40b96b57f4f95cfcb5,3
59cd804fefd449dd4ea64502,5a1db82db96b57f4f95c973a,3
59cd804fefd449dd4ea64502,5a1db83eb96b57f4f95c9904,4
59cd804fefd449dd4ea64502,5a1db76eb96b57f4f95c82df,3
59cd804fefd449dd4ea64502,5a1db778b96b57f4f95c8405,3
59cd804fefd449dd4ea64502,5a1db88cb96b57f4f95ca170,3
59cd804fefd449dd4ea64502,5a1dbc5bb96b57f4f95cff8c,3
59cd804fefd449dd4ea64502,5a1dbcf9b96b57f4f95d0fed,4
59cd804fefd449dd4ea64502,5a1dbc90b96b57f4f95d050f,3
59cd804fefd449dd4ea64502,5a1dbc89b96b57f4f95d0441,3
59cd804fefd449dd4ea64502,5a1dbc8eb96b57f4f95d04db,3
59cd804fefd449dd4ea64504,5a1db75bb96b57f4f95c80d3,3
59cd804fefd449dd4ea64504,5a1dbb12b96b57f4f95cdf7a,3
59cd804fefd449dd4ea64504,5a1db6f9b96b57f4f95c765d,3
59cd804fefd449dd4ea6450b,5a1db812b96b57f4f95c9452,3
59cd804fefd449dd4ea6450b,5a1db717b96b57f4f95c7993,4
59cd804fefd449dd4ea64522,5a1db882b96b57f4f95ca048,3
59cd804fefd449dd4ea64522,5a1db87ab96b57f4f95c9f6e,3
59cd804fefd449dd4ea64522,5a1dbca7b96b57f4f95d0757,3
59cd804fefd449dd4ea64522,5a1db759b96b57f4f95c809d,3
59cd804fefd449dd4ea64522,5a1dc2c8b96b57f4f95d6f85,3
59cd804fefd449dd4ea64522,5a1db74ab96b57f4f95c7ef7,3
59cd804fefd449dd4ea64522,5a1dc30cb96b57f4f95d777e,3
59cd804fefd449dd4ea64531,5a1db6ffb96b57f4f95c770e,3
59cd8050efd449dd4ea6456e,5a1db7acb96b57f4f95c8990,2
59cd8050efd449dd4ea6456e,5a1db863b96b57f4f95c9cfb,3
59cd8050efd449dd4ea6456e,5a1dc304b96b57f4f95d767c,4
59cd8050efd449dd4ea6456e,5a1db7eeb96b57f4f95c9068,3
59cd8050efd449dd4ea6456e,5a1db7f6b96b57f4f95c9143,4
